"emp_id","full_name","job_title","department","business_unit","gender","ethnicity","age","hire_date","annual_salary","bonus","country","city","experience"
"E00665","David Chu","Controls Engineer","Engineering","Corporate","Male","Asian",55,"1998-09-03","$86,299 ","0%","United States","Seattle",26
"E00254","Samuel Morales","Analyst II","Finance","Corporate","Male","Latino",34,"2015-06-27","$57,008 ","0%","United States","Phoenix",9
"E02166","John Soto","Sr. Manger","Finance","Manufacturing","Male","Latino",60,"2015-09-23","$141,899 ","15%","United States","Phoenix",8
"E00935","Joseph Martin","Analyst II","Marketing","Corporate","Male","Black",41,"2016-09-13","$64,847 ","0%","United States","Miami",8
"E01525","Jose Ross","Engineering Manager","Engineering","Research & Development","Male","Caucasian",53,"1992-04-08","$116,878 ","11%","United States","Miami",32
"E00386","Parker James","Quality Engineer","Engineering","Speciality Products","Male","Black",45,"2005-02-05","$70,505 ","0%","United States","Austin",19
"E03383","Lincoln Hall","Director","Accounting","Speciality Products","Male","Caucasian",26,"2020-07-28","$180,664 ","27%","United States","Chicago",4
"E01258","Gabriel Brooks","Network Engineer","IT","Manufacturing","Male","Caucasian",29,"2018-12-10","$84,596 ","0%","United States","Miami",5
"E04562","Xavier Zheng","Account Representative","Sales","Manufacturing","Male","Asian",31,"2017-07-22","$55,854 ","0%","United States","Austin",7
"E02802","Matthew Chau","Sr. Business Partner","Human Resources","Research & Development","Male","Asian",53,"2002-11-16","$95,998 ","0%","United States","Seattle",21
"E01427","Mia Cheng","Sr. Manger","Sales","Manufacturing","Female","Asian",34,"2015-04-22","$154,941 ","13%","United States","Phoenix",9
"E03890","Nevaeh Jones","Vice President","Sales","Manufacturing","Female","Caucasian",31,"2020-08-20","$219,693 ","30%","United States","Austin",4
"E01194","Samantha Adams","Test Engineer","Engineering","Research & Development","Female","Caucasian",45,"2013-04-22","$61,773 ","0%","United States","Seattle",11
"E02875","Madeline Shin","Computer Systems Manager","IT","Speciality Products","Female","Asian",48,"2007-01-09","$74,546 ","9%","United States","Seattle",17
"E04959","Noah King","Development Engineer","Engineering","Speciality Products","Male","Black",56,"2015-01-27","$62,575 ","0%","United States","Miami",9
"E01261","Connor Simmons","Analyst II","Accounting","Speciality Products","Male","Caucasian",55,"2007-04-05","$52,310 ","0%","United States","Miami",17
"E03612","Grayson Cooper","Sr. Manger","Finance","Speciality Products","Male","Black",64,"2013-06-29","$159,571 ","10%","United States","Columbus",11
"E01388","Ivy Soto","Field Engineer","Engineering","Research & Development","Female","Latino",50,"1997-10-23","$91,763 ","0%","United States","Austin",26
"E03875","Aurora Simmons","Development Engineer","Engineering","Corporate","Female","Caucasian",51,"1995-12-22","$96,475 ","0%","United States","Austin",28
"E04413","Andrew Thomas","Controls Engineer","Engineering","Manufacturing","Male","Caucasian",36,"2016-12-02","$113,781 ","0%","United States","Columbus",7
"E00691","Ezekiel Desai","Director","Finance","Research & Development","Male","Asian",42,"2003-01-15","$166,599 ","26%","United States","Seattle",21
"E04735","Nova Coleman","System Administrator ","IT","Manufacturing","Female","Caucasian",44,"2006-12-13","$74,738 ","0%","United States","Miami",17
"E02850","Evelyn Dinh","Director","Sales","Research & Development","Female","Asian",41,"2018-08-10","$171,173 ","21%","United States","Columbus",6
"E03583","Brooks Marquez","Vice President","Sales","Corporate","Male","Latino",61,"2019-09-24","$201,464 ","37%","United States","Chicago",4
"E02017","Connor Joseph","Director","Human Resources","Corporate","Male","Caucasian",50,"1998-07-22","$174,895 ","15%","United States","Chicago",26
"E01642","Mia Lam","Sr. Manger","IT","Manufacturing","Female","Asian",49,"2006-04-18","$134,486 ","14%","United States","Austin",18
"E04131","Cora Rivera","Sr. Analyst","Marketing","Corporate","Female","Latino",42,"2021-01-02","$94,430 ","0%","United States","Seattle",3
"E02331","Sophia Huynh","Enterprise Architect","IT","Manufacturing","Female","Asian",55,"2005-08-09","$92,771 ","0%","United States","Miami",19
"E00417","Athena Carrillo","Analyst II","Finance","Speciality Products","Female","Latino",39,"2006-04-06","$71,531 ","0%","United States","Columbus",18
"E04267","Greyson Sanders","Cloud Infrastructure Architect","IT","Speciality Products","Male","Black",28,"2019-03-06","$90,304 ","0%","United States","Chicago",5
"E03061","Vivian Lewis","Manager","Marketing","Manufacturing","Female","Caucasian",65,"2011-09-07","$104,903 ","10%","United States","Columbus",13
"E04265","Natalia Diaz","Operations Engineer","Engineering","Corporate","Female","Latino",62,"2006-10-12","$79,785 ","0%","United States","Austin",17
"E03042","Ava Nelson","Systems Analyst","IT","Manufacturing","Female","Caucasian",63,"1992-04-01","$53,809 ","0%","United States","Phoenix",32
"E03131","Ezekiel Reed","Sr. Manger","IT","Manufacturing","Male","Caucasian",37,"2014-02-25","$128,984 ","12%","United States","Miami",10
"E00128","Everleigh Espinoza","Director","Human Resources","Manufacturing","Female","Latino",54,"2018-01-22","$176,294 ","28%","United States","Austin",6
"E00306","Mateo Williams","Enterprise Architect","IT","Manufacturing","Male","Caucasian",40,"2011-01-22","$97,339 ","0%","United States","Austin",13
"E00170","Hannah Nelson","Sr. Analyst","Marketing","Speciality Products","Female","Caucasian",35,"2019-09-07","$70,992 ","0%","United States","Austin",5
"E01425","Anthony Rogers","Vice President","Engineering","Corporate","Male","Caucasian",33,"2015-06-18","$205,314 ","30%","United States","Columbus",9
"E03567","Silas Chavez","Technical Architect","IT","Research & Development","Male","Latino",51,"2008-04-15","$86,431 ","0%","United States","Columbus",16
"E00957","Genesis Perry","Sr. Manger","Sales","Corporate","Female","Caucasian",46,"2013-07-18","$149,712 ","14%","United States","Columbus",11
"E04458","Alexander Bryant","Field Engineer","Engineering","Speciality Products","Male","Caucasian",30,"2021-10-02","$88,758 ","0%","United States","Seattle",2
"E00521","Lily Carter","Network Architect","IT","Research & Development","Female","Caucasian",54,"1998-05-18","$68,268 ","0%","United States","Phoenix",26
"E01533","Avery Bailey","Sr. Analyst","Sales","Speciality Products","Female","Caucasian",49,"1996-05-15","$86,658 ","0%","United States","Phoenix",28
"E02855","Piper Cheng","Enterprise Architect","IT","Manufacturing","Female","Asian",62,"2009-03-15","$82,839 ","0%","United States","Miami",15
"E00816","Skylar Watson","Network Architect","IT","Speciality Products","Female","Caucasian",28,"2021-10-08","$64,475 ","0%","United States","Phoenix",2
"E04888","Elijah Henry","Manager","IT","Corporate","Male","Caucasian",32,"2014-01-03","$127,148 ","10%","United States","Miami",10
